1	Mamma's	Multi-cuisine	Non-veg	An upscale casual restaurant providing a relaxed yet refined dining experience, specializing in a fusion of Indian and Continental dishes with an emphasis on fresh ingredients and elegant presentation.	Petta, SH15, Poonithura, Maradu, Ernakulam, Kerala 682038	no	200	5.0	50	50	9.95137318307200	76.33102798
2	MaxFun	Multi-cuisine	Non-veg	A vibrant and lively casual dining spot, popular among youth and families, known for its diverse menu featuring fast food, quick bites, and fun, customizable dishes.	X955+M98, Seaport - Airport Rd, Irumpanam, Thrippunithura, Ernakulam, Kerala 682309	no	200	5.0	40	40	9.95959284255118	76.35835975
3	Dine Inn Kasa	Multi-cuisine	Non-veg	An upscale casual restaurant providing a relaxed yet refined dining experience, specializing in a fusion of Indian and Middle-eastern dishes with an emphasis on fresh ingredients and elegant presentation.	29VX+J8C, Pazhanganad, Kerala 682021	no	200	5.0	20	20	10.04398393569530	76.39804492
4	Arabian Palace	Middle Eastern	Non-veg	An authentic Middle Eastern restaurant renowned for its succulent grilled meats, aromatic biryanis, traditional mandi, and a wide array of Arabic appetizers, providing a rich culinary journey.	Edappally, Kochi, Ernakulam, Kerala 682024	yes	300	4.5	30	30	10.02349699769340	76.31120483
5	Farha	South Indian	Non-veg	A local favorite known for its simple yet delicious and affordable snacks and biriyanis.	28HH+2PV, Model Engineering College Road, Model Engineering College, Thrikkakara, Edappally, Kochi, Kerala 682021	yes	80	4.0	20	20	10.02763233746960	76.32929258
6	Maggie Bakery & Restaurant	South Indian	Non-veg	A charming local spot that combines a popular bakery with a casual restaurant, offering a range of fresh baked goods, snacks, and popular Indian comfort food dishes, often including quick meals.	Neelangal Building, SH41, Kizhakkambalam, Kerala 683562	no	100	4.0	8	8	10.03378812091440	76.40690057
7	Portico	Multi-cuisine	Non-veg	A sophisticated and modern open air restaurant, offering a curated menu of international or contemporary Indian cuisine in an elegant setting.	Millumpadi, Kiluthattil Building, Kakkanad Pallikara Rd, Thengod, Kochi, Kerala 682030	no	200	4.0	30	30	10.02552428779370	76.36533335
8	Dadwi Cafe	South Indian	Veg	A trendy and relaxed cafe, perfect for a casual hangout, serving a variety of coffees, teas, light snacks, sandwiches, and perhaps some baked goods, with a cozy ambiance.	Kachappilly Plaza, Aluva Road, Kizhakkambalam, Kerala 683562	-	50	4.5	20	20	10.03801360944610	76.40693686
9	Kubaba	Middle Eastern	Non-veg	A distinctive restaurant specializing in authentic Mediterranean and Middle Eastern cuisine, with a focus on Levantine dishes like kebabs, hummus, falafel, and other aromatic preparations.	Edappally, Kochi, Ernakulam, Kerala 682024	yes	300	4.5	50	50	10.02355548617060	76.31189769
10	Saravana Bhavan	South Indian	Veg	A globally recognized vegetarian restaurant chain, famous for its extensive menu of authentic South Indian vegetarian dishes, especially various types of dosas, idlis, vadas, and traditional thalis.	Edappally - Pukkattupady Rd, Edappally Toll, Unnichira, Koonamthai, Edappally, Kochi, Ernakulam, Kerala 682024	-	50	4.0	40	40	10.02829590207550	76.31106471
